domain,order_id,GERP_CUSTOMER_PO_NO,state,STATUS,create_date,number_of_days,reported_date,dr_id,environment
SA,62000089189,ORDER_62000089189,processing,Payment Review,2025-06-07 09:24:52,19,2025-06-26 01:01:38,,GPOne
SA,62000089342,ORDER_62000089342,processing,Payment Review,2025-06-08 01:45:38,18,2025-06-26 01:01:38,,GPOne
SA,62000089423,ORDER_62000089423,processing,Payment Review,2025-06-08 11:19:30,18,2025-06-26 01:01:38,,GPOne
SA,62000089603,ORDER_62000089603,processing,Payment Review,2025-06-08 09:35:17,18,2025-06-26 01:01:38,,GPOne
SA,62000089849,ORDER_62000089849,processing,Payment Review,2025-06-09 02:31:48,17,2025-06-26 01:01:38,,GPOne
SA,62000090113,ORDER_62000090113,processing,Payment Review,2025-06-10 10:28:06,16,2025-06-26 01:01:38,,GPOne
SA,62000090119,ORDER_62000090119,processing,Payment Review,2025-06-10 10:37:22,16,2025-06-26 01:01:38,,GPOne
SA,62000090122,ORDER_62000090122,processing,Payment Review,2025-06-10 10:39:35,16,2025-06-26 01:01:38,,GPOne
SA,62000090314,ORDER_62000090314,processing,Payment Review,2025-06-10 04:05:36,16,2025-06-26 01:01:38,,GPOne
SA_EN,65000025889,ORDER_65000025889,processing,Payment Review,2025-06-10 06:16:15,16,2025-06-26 01:01:38,,GPOne
BR,67001914737,ORDER_67001914737,payment_review,Payment Review,2025-06-11 01:19:57,15,2025-06-26 01:01:38,,GPOne
SA,62000090878,ORDER_62000090878,processing,Payment Review,2025-06-11 12:44:49,15,2025-06-26 01:01:38,,GPOne
SA_EN,65000025994,ORDER_65000025994,processing,Payment Review,2025-06-11 03:15:28,15,2025-06-26 01:01:38,,GPOne
SA_EN,65000026000,ORDER_65000026000,processing,Payment Review,2025-06-11 03:19:34,15,2025-06-26 01:01:38,,GPOne
SA,62000091217,ORDER_62000091217,processing,Payment Review,2025-06-11 10:08:24,15,2025-06-26 01:01:38,,GPOne
BR,67001918493,ORDER_67001918493,payment_review,Payment Review,2025-06-13 02:07:39,13,2025-06-26 01:01:38,,GPOne
SA,62000092396,ORDER_62000092396,processing,Payment Review,2025-06-14 12:38:07,12,2025-06-26 01:01:38,,GPOne
SA_EN,65000026309,ORDER_65000026309,processing,Payment Review,2025-06-14 07:01:56,12,2025-06-26 01:01:38,,GPOne
SA_EN,65000026321,ORDER_65000026321,processing,Payment Review,2025-06-14 07:56:30,12,2025-06-26 01:01:38,,GPOne
SA,62000092774,ORDER_62000092774,processing,Payment Review,2025-06-15 05:06:51,11,2025-06-26 01:01:38,,GPOne
SA_EN,65000026542,ORDER_65000026542,processing,Payment Review,2025-06-18 05:15:13,8,2025-06-26 01:01:38,,GPOne
SA,62000093781,ORDER_62000093781,processing,Payment Review,2025-06-18 10:53:20,8,2025-06-26 01:01:38,,GPOne
SA,62000093787,ORDER_62000093787,processing,Payment Review,2025-06-18 11:03:00,8,2025-06-26 01:01:38,,GPOne
SA,62000093880,ORDER_62000093880,processing,Payment Review,2025-06-19 10:34:34,7,2025-06-26 01:01:38,,GPOne
SA,62000094626,ORDER_62000094626,processing,Payment Review,2025-06-21 12:39:13,5,2025-06-26 01:01:38,,GPOne
SA,62000094776,ORDER_62000094776,processing,Payment Review,2025-06-21 06:33:20,5,2025-06-26 01:01:38,,GPOne
SA,62000094887,ORDER_62000094887,processing,Payment Review,2025-06-21 09:38:11,5,2025-06-26 01:01:38,,GPOne
SA,62000094899,ORDER_62000094899,processing,Payment Review,2025-06-21 10:03:57,5,2025-06-26 01:01:38,,GPOne
SA,62000095061,ORDER_62000095061,processing,Payment Review,2025-06-22 11:10:16,4,2025-06-26 01:01:38,,GPOne
SA,62000095118,ORDER_62000095118,processing,Payment Review,2025-06-22 12:25:06,4,2025-06-26 01:01:38,,GPOne
SA,62000095283,ORDER_62000095283,processing,Payment Review,2025-06-22 09:41:05,4,2025-06-26 01:01:38,,GPOne
SA,62000095606,ORDER_62000095606,processing,Payment Review,2025-06-23 10:36:29,3,2025-06-26 01:01:38,,GPOne
SA,62000095650,ORDER_62000095650,processing,Payment Review,2025-06-24 06:55:46,2,2025-06-26 01:01:38,,GPOne
VN,73001049560,ORDER_73001049560,payment_review,Payment Review,2025-06-24 10:27:23,2,2025-06-26 01:01:38,,GPOne
SA,62000095791,ORDER_62000095791,processing,Payment Review,2025-06-25 02:12:29,1,2025-06-26 01:01:38,,GPOne
ES,38000157618,ORDER_38000157618,new,Payment Review,2025-06-25 01:11:42,1,2025-06-26 01:01:38,,GPOne
ES,38000157624,ORDER_38000157624,new,Payment Review,2025-06-25 01:30:16,1,2025-06-26 01:01:38,,GPOne
ES,38000157627,ORDER_38000157627,new,Payment Review,2025-06-25 01:31:59,1,2025-06-26 01:01:38,,GPOne
ES,38000157645,ORDER_38000157645,new,Payment Review,2025-06-25 01:55:36,1,2025-06-26 01:01:38,,GPOne
ES,38000157648,ORDER_38000157648,new,Payment Review,2025-06-25 02:00:57,1,2025-06-26 01:01:38,,GPOne
ES,38000157672,ORDER_38000157672,new,Payment Review,2025-06-25 02:52:40,1,2025-06-26 01:01:38,,GPOne
ES,38000157702,ORDER_38000157702,payment_review,Payment Review,2025-06-25 04:09:08,1,2025-06-26 01:01:38,,GPOne
ES,38000157708,ORDER_38000157708,new,Payment Review,2025-06-25 04:15:20,1,2025-06-26 01:01:38,,GPOne
ES,38000157714,ORDER_38000157714,new,Payment Review,2025-06-25 04:17:39,1,2025-06-26 01:01:38,,GPOne
ES,38000157717,ORDER_38000157717,new,Payment Review,2025-06-25 04:19:54,1,2025-06-26 01:01:38,,GPOne
ES,38000157744,ORDER_38000157744,new,Payment Review,2025-06-25 05:30:55,1,2025-06-26 01:01:38,,GPOne
MX,127001479853,ORDER_127001479853,pending_payment,Payment Review,2025-06-25 06:04:59,1,2025-06-26 01:01:38,,GPOne
MX,127001479880,ORDER_127001479880,pending_payment,Payment Review,2025-06-25 06:41:14,1,2025-06-26 01:01:38,,GPOne
FR,90001149940,ORDER_90001149940,new,Payment Review,2025-06-25 07:48:15,1,2025-06-26 01:01:38,,GPOne
CZ,121001032169,ORDER_121001032169,new,Payment Review,2025-06-25 07:50:45,1,2025-06-26 01:01:38,,GPOne
FR,90001149976,ORDER_90001149976,new,Payment Review,2025-06-25 08:37:59,1,2025-06-26 01:01:38,,GPOne
MX,127001479952,ORDER_127001479952,pending_payment,Payment Review,2025-06-25 09:25:47,1,2025-06-26 01:01:38,,GPOne
SA_EN,65000027088,ORDER_65000027088,processing,Payment Review,2025-06-25 09:50:54,1,2025-06-26 01:01:38,,GPOne
ES,38000157846,ORDER_38000157846,payment_review,Payment Review,2025-06-25 10:07:08,1,2025-06-26 01:01:38,,GPOne
EG_AR,96001048375,ORDER_96001048375,new,Payment Review,2025-06-25 11:53:07,1,2025-06-26 01:01:38,,GPOne
MX,127001480018,ORDER_127001480018,pending_payment,Payment Review,2025-06-26 12:40:05,0,2025-06-26 01:01:38,,GPOne
BR,67001938286,ORDER_67001938286,processing,Payment Review,2025-06-26 01:01:09,0,2025-06-26 01:01:38,,GPOne
